Song Title,Artists,BPM,Comments,Length
"Runaway (I Wonder) (8ct_looper)_- 73.4bpm","Del Shannon","147","50s Doo Wop-Honky Tonks","2:21"

"School Day (Dj Special 2022)","Chuck Berry","131","50s Doo Wop","2:47"

"Sea Cruise (Doubletime)","Frankie Ford","151","50s Doo Wop","2:44"

"Searchin' (Dj special 2022)","The Coasters","146","50s Doo Wop-Honky Tonks","2:48"

"See You Later, Alligator (Dj Special 2022) (4 phrase)","Bill Haley & His Comets","158","50s Doo Wop-Honky Tonks/MensSports","2:53"

"Shake Rattle and Roll (BH) (Dj cut 2022)","Bill Haley & His Comets","83","50s Doo Wop","3:26"

"Shake, Rattle and Roll (BJT) (Boost) - 76.23","Big Joe Turner","152","50s Doo Wop","3:01"

"Shake, Rattle and Roll (Elvis) (8ct Looper)","Elvis Presley","103","50s Doo Wop-Honky Tonks","2:31"

"Sh-Boom (129bpm)","The Crew-Cuts","129","50s Doo Wop-Honky Tonks","2:47"

"Sherry","Frankie Valli","117","50s Doo Wop","2:38"

"Shimmy, Shimmy, Ko-Ko-Bop (8ct Looper)","Little Anthony & The Imperials","116","50s Doo Wop-Honky Tonks","2:11"

"Shop Around (Dj special 2022)","Smokey Robinson & The Miracles","131","50s Doo Wop","2:41"

"Short Fat Fannie","Larry Williams","145","50s Doo Wop-Honky Tonks","2:25"

"Short Shorts (Dj cut 2022)","The Royal Teens","126","50s Doo Wop-Jazz","2:35"

"Shortnin' Bread","Paul Chaplain and His Emeralds","158","50s Doo Wop-Honky Tonks","1:57"

"Shout (Parts 1 & 2) (Dj Cut 2022)","The Isley Brothers","140","50s Doo Wop","4:27"

"Slippin' and Slidin' (Peepin' and Hidin') (4 phrase doubletime)","Little Richard","90","50s Doo Wop-Honky Tonks","2:36"

"Smokestack Lightnin' (looper) - 72.87","Howlin' Wolf","145","50s Doo Wop-Honky Tonks","3:07"

"Somethin' Else","Eddie Cochran","156","50s Doo Wop","2:06"

"Speedo ","The Cadillacs","127","50s Doo Wop-Jazz","2:18"

"Splish Splash (Dj cut)","Bobby Darin","150","50s Doo Wop-Honky Tonks","2:14"

