Song Title,Artists,BPM,Comments,Length
"Spreadin' Rhythm Around (Dj Special 2022)(4 Phrase)","Billie Holiday","95","40s 50s Jazz and Big Band","2:25"

"Swanee River Rock (Talkin' 'Bout That River)(Dj Cut 2022)","Ray Charles","128","40s 50s Jazz and Big Band Classics","2:20"

"Swinging On A Star","Bing Crosby","142","40s 50s Jazz and Big Band","2:33"

"Tain't Nobody's Biz-Nezz If I Do! (Dj Cut 2022)","Fats Waller","117","40s 50s Jazz and Big Band","2:26"

"Take The _A_ Train (looper)","Duke Ellington","93","40s 50s Jazz and Big Band","5:30"

"Thats Amore (Dj cut 2021)","Dean Martin","155","40s 50s Jazz and Big Band Classics","2:50"

"The Best Is Yet To Come (looper)","Frank Sinatra","108","40s 50s Jazz and Big Band","2:54"

"The Candy Man - Sammy Davis Jr.","Sammy Davis Jr.","131","40s 50s Jazz and Big Band","3:10"

"The Charleston (Dj Cut 2022)(4 phrase)","Green Hill Instrumental","102","40s 50s Jazz and Big Band Classics","2:40"

"The Entertainer","Scott Joplin ","84","40s 50s Jazz and Big Band","3:44"

"The Girl from Ipanema","Astrud Gilberto, João Gilberto and Stan Getz","130","40s 50s Jazz and Big Band","5:25"

"The Gold Diggers' Song (We're In the Money) (8ct looper)","Dick Powell","98","40s 50s Jazz and Big Band","3:11"

"The Hucklbuck - Kay Starr (Dj Specail 2023)","Kay Starr","90","40s 50s Jazz and Big Band","1:33"

"The Jumpin' Jive (Hep! Hep!) (looper)","Cab Calloway","90","40s 50s Jazz and Big Band","2:50"

"The Lady In Red (doubletime)","Ambrose","92","40s 50s Jazz and Big Band","2:59"

"The Lady Is A Tramp","Frank Sinatra","128","40s 50s Jazz and Big Band Classics","3:14"

"The Way You Look Tonight ","Frank Sinatra","132","40s 50s Jazz and Big Band Classics","3:22"

"Them There Eyes (Dj Special 2023) (4 phrase)","Billie Holiday","155","40s 50s Jazz and Big Band","2:54"

"Theme From New York, New York","Frank Sinatra","108","40s 50s Jazz and Big Band","3:28"

"They Can't Take That Away From Me (looper)","Frank Sinatra","122","40s 50s Jazz and Big Band Classics","2:41"

