Song Title,Artists,BPM,Comments,Length
"Georgy Porgy [Toto] (Enhanced Intro)","Toto","97","70s Classic Rock-A Sides/Pop-Radio","4:08"

"Gimme Some Lovin'","The Blues Brothers","143","70s Classic Rock-B Sides","3:08"

"Gimme Three Steps (Dj Cut 2022)","Lynyrd Skynyrd","133","70s Classic Rock-A Sides/Pop-Radio","3:50"

"Gimme! Gimme! Gimme! (A Man After Midnight)[Dj Cut 2025]","ABBA","120","70s Classic Rock-A Sides/Pop-Radio","4:51"

"Girls Got Rhythm","AC/DC","137","70s Classic Rock-A Sides","3:24"

"Go your own way (8ct looper)","Fleetwood Mac","135","70s Classic Rock-B Sides","3:40"

"God Save The Queen","Sex Pistols","150","70s Classic Rock-B Sides","3:20"

"Godzilla","Blue Oyster Cult","92","70s Classic Rock-B Sides","3:41"

"Golden Years (Single Version)","David Bowie","107","70s Classic Rock-B Sides","3:30"

"Gonna Fly Now (Theme from Rocky I,II,III,IV)","Bill Conti","95","70s Classic Rock-B Sides","2:48"

"Goodbye Stranger (117 intro Ends at 128)","Supertramp","117","70s Classic Rock-B Sides","5:51"

"Goodnight Tonight","Wings","123","70s Classic Rock-B Sides","4:21"

"Got My Mojo Working / Keep Your Hands Off of It","Elvis Presley","137","70s Classic Rock-A Sides","4:39"

"Grease (End Credits / From “Grease”)","Frankie Valli","109","70s Classic Rock-B Sides","3:24"

"Grease (From “Grease”)","Frankie Valli","109","70s Classic Rock-A Sides/Pop-Radio","3:26"

"Greased Lightnin' [Edited] (Dj Special 2022) (4 phrase)","John Travolta & Jeff Conaway","80","70s Classic Rock-A Sides/Pop-Radio","3:13"

"Greased Lightnin' [Explicit] (Dj Cut 2022) (4 phrase)","John Travolta & Jeff Conaway","80","70s Classic Rock-B Sides","3:13"

"Green-Eyed Lady (8ct looper)","Sugarloaf","151","70s Classic Rock-B Sides","3:37"

"Greese-Club Mix ","John Travolta/Olivia Newton-John","109","70s Classic Rock-A Sides/Pop-Radio","2:07"

"Hair Of The Dog","Nazareth","129","70s Classic Rock-A Sides/Pop-Radio","4:09"

"Have You Ever Seen The Rain","Creedence Clearwater Revival","116","70s Classic Rock-B Sides","2:41"

"Heartache Tonight (113bpm)","The Eagles","113","70s Classic Rock-A Sides/Pop-Radio","4:25"

"Hey Big Brother","Rare Earth","124","70s Classic Rock-B Sides","4:48"

"Hey Nineteen skipping cd?","Steely Dan","120","70s Classic Rock-B Sides","5:01"

"Highway to Hell","AC/DC","115","70s Classic Rock-B Sides","3:28"

"Hit Me With Your Best Shot (Remastered)","Pat Benatar","127","70s Classic Rock-A Sides/Pop-Radio/WMSport","2:51"

"Hold The Line (97 bpm)","Toto","97","70s Classic Rock-A Sides","3:57"

"Holidays In The Sun (Slow Start)","Sex Pistols","148","70s Classic Rock-B Sides","3:23"

"Hollywood Nights","Bob Seger & The Silver Bullet Band","151","70s Classic Rock-B Sides","5:03"

"Honky Cat (Dj Special 2024)","Elton John","85","70s Classic Rock-B Sides","5:11"

"Hooked On A Feeling","Blue Swede","115","70s Classic Rock-A Sides/Pop-Radio","2:56"

"Hope You're Feeling Better","Santana","94","70s Classic Rock-B Sides","4:13"

"Hot Blooded","Foreigner","118","70s Classic Rock-A Sides","3:01"

"Hot Child In The City [NEEDS VOLUME]","Nick Gilder","111","70s Classic Rock-B Sides","3:08"

"Hot Legs","Rod Stewart","113","70s Classic Rock-A Sides","5:15"

"Hot Stuff","The Rolling Stones","100","70s Classic Rock-B Sides","3:30"

"Houses Of The Holy (Tempo Adjusted Dj Cut 2022)","Led Zeppelin","124","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:54"

"How Long","ACE","122","70s Classic Rock-A Sides/Pop-Radio","3:24"

"Hurricane (Bob Dylan) [Clean Edit]","Bob Dylan","135","70s Classic Rock-B Sides","8:33"

"Hurricane ","Bob Dylan","135","70s Classic Rock-B Sides","8:33"

"I Am Woman","Helen Reddy","85","70s Classic Rock-B Sides","3:25"

"I Can Help (Undubbed Version)","Elvis Presley","121","70s Classic Rock-A Sides","4:07"

"I Don't Know","Ozzy Osbourne","135","70s Classic Rock-B Sides","5:15"

"I Feel Like Making Love (Dj Cut)","Bad Company","85","70s Classic Rock-B Sides","5:13"

"I Feel the Earth Move","Carole King","119","70s Classic Rock-B Sides","2:59"

"I Heard It Through The Grapevine (Mono Single)","Creedence Clearwater Revival","118","70s Classic Rock-B Sides","3:53"

"I Heard It Through The Grapvine (CCR) (Stereo Version)","Creedence Clearwater Revival","118","70s Classic Rock-B Sides","11:10"

"I Just Want To Be Your Everything (Dj Cut Special 2026)[From Top]","Andy Gibb","97.000000","Amazon.com Song ID: 285221898","3:54"

"I Just Want to Celebrate (tempo Adjusted)","Rare Earth","87","70s Classic Rock-B Sides","2:47"

"I Just Want to Make Love to You (129)","Foghat","129","70s Classic Rock-A Sides/Pop-Radio/Menssports","4:19"

"I Love A Rainy Night","Eddie Rabbitt","132","70s Classic Rock-A Sides/Pop-Radio/Menssports","3:13"

"I Love Rock N' Roll (Dj Cut 2022)","Joan Jett & The Blackhearts","94","70s Classic Rock-A Sides/Pop-Radio/WMSport","3:05"

"I Only Want to Be with You","Bay City Rollers","132","70s Classic Rock-B Sides","3:35"

"I Shot The Sheriff [Eric Claprton](Dj Cut 2026)","Eric Clapton","95.350000","70s Classic Rock-A Sides/Pop-Radio","4:50"

"I Stole Your Love (doubletime)","Kiss","96","70s Classic Rock-A Sides","3:05"

"I Think I Love You","The Partridge Family","101","70s Classic Rock-B Sides","2:53"

"I Wannna Be Sedated - 82","The Ramones","82","70s Classic Rock-B Sides","2:30"

"I Want You to Want Me (1976 Original Studio Versio","Cheap Trick","111","70s Classic Rock-A Sides","3:00"

"I Was Made For Lovin' You","Kiss","128","70s Classic Rock-A Sides/Pop-Radio","4:30"

"I Woke Up In Love This Morning (Dj Special 2024)","David Cassidy & The Partridge Family","136","70s Classic Rock-A Sides","3:09"

"I'd Love To Change The World (Remastered 2004)","Ten Years After","121","70s Classic Rock-B Sides","3:43"

"I'm A Man (Chicago)","Chicago","128","70s Classic Rock-B Sides","7:43"

"I'm A Man (Chicago - Live)","Chicago","136","70s Classic Rock-B Sides","6:56"

"I'm In Love (2010 - Remaster)","Badfinger","139","70s Classic Rock-A Sides","2:28"

