Song Title,Artists,BPM,Comments,Length
"Give up the Funk (Tear the Roof off the Sucker)","Parliament","106","70s Classic Soul A-Sides","5:45"

"Golden Time Of Day (Slow start)","Maze Feat. Frankie Beverly","98","70s Classic Soul B-Sides","5:36"

"Got To Be Enough","Con Funk Shun","123","70s Classic Soul B-Sides","5:47"

"Got To Get You Into My life","Earth, Wind & Fire","140","70s Classic Soul A-Sides/Pop-Radio","4:00"

"Got To Give It Up (Original Full) ","Marvin Gaye","123","70s Classic Soul A-Sides","6:03"

"Got To Give It Up (Part One)","Marvin Gaye","123","70s Classic Soul A-Sides","4:08"

"Groove Me","King Floyd","104","70s Classic Soul A-Sides","3:01"

"Happy Birthday (Dj cut)","Stevie Wonder","116","70s Classic Soul B+Sides","5:36"

"Head","Prince","119","70s Classic Soul A-Sides","4:43"

"Heavy Makes You Happy (Sha-Na-Boom Boom)","The Staple Singers","124","70s Classic Soul B-Sides","3:09"

"Here I Am (Come And Take Me) [Dj Special 2024]","Al Green","94","70s Classic Soul A-Sides","4:21"

"He's So Shy (Re-EQ'd)","The Pointer Sisters","115","70s Classic Soul B-Sides","3:39"

"He's the Greatest Dancer","Sister Sledge","113","70s Classic Soul A-Sides","3:40"

"Hey Big Brother","Rare Earth","124","70s Classic Soul B-Sides","4:48"

"High","Skyy","110","70s Classic Soul B-Sides","4:54"

"Higher Ground","Stevie Wonder","125","70s Classic Soul A-Sides/Pop-Radio/MensSports","3:07"

"Higher Plane","Kool and The Gang","104","70s Classic Soul B+Sides","5:01"

"Holy Ghost","The Bar-Kays","103","70s Classic Soul B-Sides","3:55"

"Home Is Where the Hatred Is","Esther Phillips","99","70s Classic Soul B-Sides","3:26"

"Honey Please, Can't Ya See","Barry White","115","70s Classic Soul B-Sides","5:16"

"Hot Line","The Sylvers","133","70s Classic Soul B-Sides","4:34"

"Hot Pants, Pt. 1 (Dj Cut 2022)","James Brown","98","70s Classic Soul A-Sides","3:11"

"How Long (Betcha' Got A Chick On The Side)[Short Edit Dj Special 2023]","The Pointer Sisters","88","70s Classic Soul B-Sides","3:27"

"Humpin'","The Gap Band","108","70s Classic Soul B+Sides/Dance","5:15"

"Hurtin' House (SLOW START)","Esther Phillips","93","70s Classic Soul B-Sides","5:02"

"I Can See Clearly Now the Rain is Gone","Johnny Nash","120","70s Classic Soul B+Sides/Crossover","3:03"

"I Don't Love You Anymore","Teddy Pendergrass","119","70s Classic Soul B-Sides","3:58"

