Song Title,Artists,BPM,Comments,Length
"Doctor! Doctor!","Thompson Twins","119","80s Rock- B Sides","4:39"

"Don't Get Me Wrong","Pretenders","101","80s Rock- B Sides","3:48"

"Don't Go","Yaz","125.470000","80s Rock- A Sides/New Wave/Alt","3:11"

"Don't Lose My Number (2016 Remastered) - 162","Phil Collins","80","80s Rock- A Sides/Pop/Classic Rock","4:49"

"Don't Lose My Number [12"} (doubletime)","Phil Collins -Genesis","81","80s Rock- A Sides/Pop/Classic Rock","6:35"

"Don't Stand So Close To Me","The Police","140","80s Rock- A Sides/Classic Rock","4:03"

"Don't Stop Believin' (Dj Special 2025)","Journey","120","80s Rock- A Sides/Classic Rock/MensSports","4:08"

"Don't Worry, Be Happy","Bobby McFarren","137","80s Rock- A Sides/Pop/Classic Rock","3:49"

"Don't You Forget About Me (Dj Cut 2025)2.0","Simple Minds","111.060000","80s Rock- A Sides/New Wave/Alt","4:39"

"Don't You Want Me","The Human League","117","80s Rock- A Sides/New Wave/Alt","3:59"

"Down Under","Men at Work","107","80s Rock- A Sides/Pop/Classic Rock","3:43"

"Dr. Feelgood (Dj Cut 2025)","Mötley Crüe","111","80s Rock- B Sides","4:36"

"Dress You Up","Madonna","136","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt/MensSports","4:02"

"Drop Dead Legs (Dj Special 2026)","Van Halen","89.000000","80s Rock- A Sides/Guitar","3:52"

"Dude Looks Like A Lady","Aerosmith","126","80s Rock- A Sides/Guitar-Alt/Classic Rock","4:25"

"Dulcimer Stomp / The Other Side","Aerosmith","127","80s Rock- A Sides/Guitar-Alt/Classic Rock","4:56"

"Easy Lover (Dj Cut 2026){Que @ 7.8 secs}","Phil Collins & Philip Baily","129.020000","Amazon.com Song ID: 259347503","5:06"

"Easy Lover (Dj Cut 2026){From the top}[Que @ 7.8 secs]","Phil Collins & Philip Baily","129.020000","Amazon.com Song ID: 259347503","5:21"

"Edge Of Seventeen","Stevie Nicks","114","80s Rock- A Sides/Classic Rock/WMSport","5:26"

"Electric Avenue (Boosted 2024)","Eddy Grant","121","80s Rock- A Sides/Pop/Classic Rock/MensSports","3:49"

"Emotional Rescue","The Rolling Stones","110","80s Rock- B Sides","5:40"

"Englishman In New York","Sting","102","80s Rock- B Sides","4:27"

"Enjoy the Silence","Depeche Mode","113","80s Rock- A Sides/New Wave/Alt","4:16"

"Epic","Faith No More","87","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","4:54"

"Every Breath You Take Ill Be Missing You","The Police","117","80s Rock- A Sides/Classic Rock","4:08"

"Every Day Is Halloween","Ministry","114","80s Rock- B Sides","6:37"

"Every Little Thing She Does Is Magic - 82 (4 Phrase)","The Police","82","80s Rock- A Sides/Pop/Classic Rock","4:21"

"Everybody Have Fun Tonight","Wang Chung","129","80s Rock- A Sides/Classic Rock/MensSports","4:47"

"Everybody Wants Some (Dj Special 2023)","Van Halen","144","80s Rock- A Sides/Guitar-Alt/Classic Rock/New Wave/Alt/MensSports","5:09"

"Everybody Wants to Rule the World (Dj Cut 2025)","Tears for Fears","112","80s Rock- A Sides/New Wave/Alt","4:23"

"Everybody Wants You","Billy Squier","131","80s Rock- A Sides/New Wave/Alt/MensSports","3:47"

"Everything She Wants","Wham!","115","80s Rock- A Sides/New Wave/Alt","6:29"

"Everywhere (2017 Remaster)","Fleetwood Mac","115","80s Rock- B Sides","3:47"

