Song Title,Artists,BPM,Comments,Length
"Rhythm Nation","Janet Jackson","109","Womens Sports 80s RNB","5:58"

"Rich Girl","Gwen Stefani","98","Womens Sports 2000s Pop","3:57"

"Right Back Where We Started From","Maxine Nightingale","147","Womens Sports 70s Rock","3:18"

"Ring My Bell","Anita Ward","126","Womens Sports 70s Disco","3:33"

"Roam","The B-52's","134","Womens Sports 80s Rock","4:55"

"Rockin' With The Rhythm Of The Rain","The Judds","142","Womens Sports 80s Country","2:41"

"Rocksteady (Aretha Franklin) (Tempo adjusted)","Aretha Franklin","104","Womens Sports 70s Soul","3:12"

"Ruffneck [Clean]","MC Lyte","102","Womens Sports 90s Rap","3:57"

"Run the World (Girls)","Beyoncé","127","Womens Sports 2010s Pop","3:56"

"Savage Remix (feat. Beyoncé) [clean] (Dj Cut 2022)","Megan Thee Stallion","84","Womens Sports 2010s Rap","4:13"

"Savage Remix (Clean) (feat. Beyoncé) [Clean]","Megan Thee Stallion","","Womens Sports 2010s Rap","4:03"

"Shake It Off - 80 (doubletime)","Taylor Swift","80","Womens Sports 2010s Rock","3:39"

"Shake Your Groove Thing","Peaches & Herb","132","Womens Sports 70s Disco","6:40"

"Shame","Evelyn "Champagne" King","133","Womens Sports 70s Soul","2:58"

"She's a Bad Mama Jama","Carl Carlton","114","Womens Sports 80s RNB","3:58"

"Shut Up And Drive","Rihanna","133","Womens Sports 2010s Pop","3:32"

"Since Uve Been Gone (Full Song)","Kelly Clarkson","131","Womens Sports 2000s Rock","3:09"

"Single Ladies (Put a Ring on It)[Dj Cut 2024]","Beyoncé","97","Womens Sports 2000s Pop","3:25"

"Sk8er Boi","Avril Lavigne","150","Womens Sports 2010s Rock","3:24"

"So What (126 bpm)REDUCE","Pink","126","Womens Sports 2010s Rock","3:35"

"Somebody to Love (Dj Cut 2022)","Jefferson Airplane","131","Womens Sports 60s Rock","3:01"

"Somebody to Love","Jefferson Airplane","130.79","Womens Sports 60s Rock","2:54"

"Southbound (Dj Special 2023)","Carrie Underwood","101","Womens Sports 2000s Country","3:37"

"Spice Up Your Life","Spice Girls","124","Womens Sports 90s RNB","2:56"

"Sports car","Tate McRae","","Womens Sports 2020s Pop","2:45"

"Square Biz (Dj Cut 2022)","Teena Marie","113","Womens Sports 70s Soul","6:31"

"Starships [Clean] (Edit)","Nicki Minaj","125","Womens Sports 2010s Pop","3:31"

"Strut","Sheena Easton","114","Womens Sports 80s RNB","4:00"

"Suds In The Bucket","Sara Evans","81","Womens Sports 2000s Country","3:47"

"Supersonic","J.J. Fad","132.09","Womens Sports 80s Rap","3:52"

"Sweet Dreams (Are Made of This)","Eurythmics","125","Womens Sports 80s Rock","3:35"

"Tambourine [Clean] (Edited Version)","Eve","102","Womens Sports 2000s Rap","3:12"

"Teenage Dream (Dj Cut 2024)","Katy Perry","120","Womens Sports Y2K Pop","3:52"

"Teenage Dream","Katy Perry","","Womens Sports 2000s Pop","3:48"

"Tell Me Something Good (Dj Cut 2024)(4 phrase)","Rufus & Chaka Khan","147","Womens Sports 70s Disco","3:31"

"That Dont Impress Me Much","Shania Twain","125","Womens Sports 90s Country","3:38"

"That'll Be The Day - Linda Ronstadt (Dj cut 2022)","Linda Ronstadt","125","Womens Sports 70s Country","2:39"

"That'll Be The Day - Linda Ronstadt","Linda Ronstadt","125.89","Womens Sports 70s Country","2:34"

"That's Not My Name","The Ting Tings","145","Womens Sports 2010s Rock","5:12"

"That's What I Like About You (4 phrase)","Trisha Yearwood","117","Womens Sports 90s Country","2:41"

"The Boy From New York City","The Ad Libs","151","Womens Sports 60s Soul","3:02"

"The Glamorous Life [Club Edit]","Sheila E.","127","Womens Sports 80s RNB","6:38"

"These Boots Are Made for Walkin' (Jessic Simpson)","Jessica Simpson","92","Womens Sports 2000s Country","3:41"

"These Boots Are Made For Walking (Tempo Adjusted)(4 phrase doubletime)","Nancy Sinatra","82","Womens Sports 60s Rock","2:47"

"TiK ToK (Dj Special 2022)","Ke$ha","120","Womens Sports 2010s Rap","3:27"

"TiK ToK","Ke$ha","","Womens Sports 2010s pop","3:20"

"Toxic","Britney Spears","142","Womens Sports 2000s Pop","3:22"

"Turning Away","Crystal Gaylel","156","Womens Sports 80s Country","2:55"

"Two Of Hearts (dj Cut 2022)","Stacy Q","130","Womens Sports 80s Rock","3:40"

"Up! (Red Version)(8ct looper)","Shania Twain","126","Womens Sports 2000s Country","2:53"

"Upside Down (Dj Special)","Diana Ross","108","Womens Sports 70s Disco","4:08"

"Upside Down","Diana Ross","108.13","Womens Sports 70s Disco","4:07"

"Vogue","Madonna","116","Womens Sports 80s Rock","5:18"

"Wannabe - Spice Girls ","Spice Girls","","Womens Sports 90s RNB","3:11"

"Wannabe (Dj Cut)","Spice Girls","110","Womens Sports 90s RNB","2:55"

"Waterloo (English Version)","ABBA","145","Womens Sports 70s Rock","2:46"

"We Are Family","Sister Sledge","119","Womens Sports 70s Soul","3:37"

"We Got The Beat","The Go-Go's","152","Womens Sports 80s Rock","2:30"

"We've Come A Long Way, Baby (Studio Version) boost 2020","Loretta Lynn","93","Womens Sports 70s Country","2:02"

"What About Your Friends [Intro Boost 2024]","TLC","106","Womens Sports 90s RNB","4:54"

"What's Up (4 Non Blondes Mix Dance Mix)","DJ Miko","","Womens Sports 90s Club                 ","5:15"

"When I Grow Up","The Pussycat Dolls","118","Womens Sports 2000s Pop","3:54"

"WHERE IS MY HUSBAND!","RAYE","","Womens Sports 2020s Pop","3:17"

"Which Way Is Up (Theme)","Stargard","104","Womens Sports 70s Soul","6:51"

"Who's Cheatin' Who","Charly McClain","134","Womens Sports 80s Country","2:15"

"Why Haven't I Heard From You","Reba McEntire","111","Womens Sports 90s Country","3:29"

"Work It","Missy Elliott","102","Womens Sports 90s Rap","3:49"

"Work Work","Britney Spears","128","Womens Sports 2000s Pop","4:04"

"Worth It","Fifth Harmony feat. Kid Ink","100","Womens Sports 2010s Rap","3:42"

"You Keep Me Hanging On","Diana Ross & The Supremes","127","Womens Sports 60s Soul","2:43"

