Song Title,Artists,BPM,Comments,Length
"Original Prankster [Edited] [feat. Redman]{4 phrase}","The Offspring & Redman","146.470000","2000s Y2K Pop-Rockwave A-Sides","3:41"

"Original Prankster [Explicit] [feat. Redman]","The Offspring & Redman","146.470000","2000s Y2K Pop-Rockwave A-Sides","3:41"

"Orphans","Coldplay","108","2000s Y2K Pop-Rockwave B-Sides","3:18"

"Picture (Ft. Kid Rock)","Kid Rock","98","2000s Y2K Pop-Rockwave B-Sides","4:59"

"Piece of Me","Britney Spears","115","2000s Y2K Pop-Rockwave A-Sides","3:31"

"Pieces Of Me (Dj Cut 2024)","Ashlee Simpson","87","2000s Y2K Pop-Rockwave B-Sides","3:45"

"Pinch Me ","Barenaked Ladies","95","2000s Y2K Pop-Rockwave B-Sides","4:45"

"Pumped Up Kicks","Foster The People","128","2000s Y2K Pop-Rockwave A-Sides","4:00"

"Rest Of My Life (Dj Special 2022) (4 phrase)","Kottonmouthkings","82","2000s Y2K Pop-Rockwave A-Sides","5:41"

"Rich Girl","Gwen Stefani","98.010000","2000s Y2K Pop-Rockwave A-Sides/WMSport","3:57"

"Rockstar (Dj Cut 2022)(4 phrase doubletime)","Nickelback","144","2000s Y2K Pop-Rockwave A-Sides","4:25"

"Short Skirt Long Jacket","Cake","120","2000s Y2K Pop-Rockwave A-Sides","3:28"

"Shut Up and Let Me Go","The Ting Tings","108","2000s Y2K Pop-Rockwave B-Sides","2:52"

"Sick, Sick, Sick","Queens Of The Stone Age","96","2000s Y2K Pop-Rockwave B-Sides","3:35"

"Since Uve Been Gone (Full Song)","Kelly Clarkson","131","2000s Y2K Pop-Rockwave A-Sides/WMSport","3:09"

"Since You've Been Gone (5050 Dj cut)","Kelly Clarkson","131","2000s Y2K Pop-Rockwave A-Sides","3:19"

"Slave","Britney Spears","110","2000s Y2K Pop-Rockwave A-Sides","3:39"

"Smoth Criminal (cue at 7.7)","Alien Ant Farm","127","2000s Y2K Pop-Rockwave A-Sides","3:29"

"Soak Up The Sun","Sheryl Crow","120","2000s Y2K Pop-Rockwave A-Sides","4:52"

"Somebody Told Me - The Killers (Dj Cut 2022)(Good mix)","The Killers","138","2000s Y2K Pop-Rockwave A-Sides","3:08"

"Sour Girl","Stone Temple Pilots","104","2000s Y2K Pop-Rockwave B-Sides","4:16"

"Stronger (What Doesn't Kill You)","Kelly Clarkson","116","2000s Y2K Pop-Rockwave B-Sides","3:42"

"Swing, Swing","The All-American Rejects","128.340000","2000s Y2K Pop-Rockwave A-Sides","3:53"

"Teenage Dirtbag [Clean](Dj Cut 2025)","Wheatus","94","2000s Y2K Pop-Rockwave A-Sides","4:07"

"Teenage Dream (Dj Cut 2024)","Katy Perry","120","2000s Y2K Pop-Rockwave A-Sides/WMSport","3:52"

"The Hand That Feeds","Nine Inch Nails","128","2000s Y2K Pop-Rockwave B-Sides","3:32"

"The Man (Dj Special 2022)","Taylor Swift","110","2000s Y2K Pop-Rockwave B-Sides","3:18"

"The Middle {J.E.W}","Jimmy Eat World","81","2000s Y2K Pop-Rockwave A-Sides","2:46"

"The Remedy (I Won't Worry)","Jason Mraz","95.000000","2000s Y2K Pop-Rockwave A-Sides","4:16"

"The Rock Show [Clean] (Dj Cut 2025) (4 phrase)","Blink 182","96","2000s Y2K Pop-Rockwave A-Sides","2:45"

"The Rock Show [Dirty] (Dj Cut 2025) (4 phrase)","Blink 182","96","2000s Y2K Pop-Rockwave A-Sides","2:45"

"The Sweet Escape","Gwen Stefani","120","2000s Y2K Pop-Rockwave A-Sides","4:00"

"The Way You Used To Do (Doubletime)","Queens Of The Stone Age","98","2000s Y2K Pop-Rockwave B-Sides","4:34"

"Think It Over","Ringo Starr","129","2000s Y2K Pop-Rockwave B-Sides","1:49"

"This Is How a Heart Breaks - 70.01","Rob Thomas","140","2000s Y2K Pop-Rockwave A-Sides","3:51"

