Song Title,Artists,BPM,Comments,Length
"Try (Just a Little Bit Harder) (looper 8ct)","Janis Joplin Big Brother & The Holding Company","110","60s B-Sides_Acid Rock","3:56"

"Turn! Turn! Turn! (To Everything There Is a Season) [Mono Version]","The Byrds","124","60s B-Sides_Acid Rock","3:52"

"Twentieth Century Fox (8ct looper)","The Doors","115","60s B-Sides_Acid Rock","2:35"

"Under My Thumb","The Rolling Stones","126","60s B-Sides_Acid Rock","3:44"

"Up Around The Bend (Class Edit)","Creedence Clearwater Revival","130","60s A-Sides_Acid Rock","2:35"

"Valleri (Dj cut 2022)","The Monkees","151","60s B-Sides_Acid Rock","2:26"

"Venus","Shocking Blue","130","60s B-Sides_Acid Rock","3:05"

"Voodoo Child (Slight Return) ","Jimi Hendrix","89","60s B-Sides_Acid Rock","4:51"

"What'Cha Gonna Do About It","Small Faces","152","60s B-Sides_Acid Rock","1:57"

"When I'm Sixty-Four - (141bpm) (SLOW START)","The Beatles","141","60s A-Sides_Acid Rock","2:38"

"While My Guitar Gently Weeps (White Album Version)","The Beatles","113","60s B-Sides_Acid Rock","4:45"

"While My Guitar Gently Weeps","The Beatles","136","60s B-Sides_Acid Rock","3:21"

"White Rabbit","Jefferson Airplane","101","60s A-Sides_Acid Rock","2:32"

"White Room (Dj Special 2024)","Cream","109","60s A-Sides_Acid Rock","4:45"

"Whole Lotta Love (Dj Special) (slow start. spins at 90-91)","Led Zeppelin","89","60s B-Sides_Acid Rock","3:46"

"Who'll Stop The Rain","Creedence Clearwater Revival","123","60s B-Sides_Acid Rock","2:28"

"With A Little Help From My Friends ","The Beatles","112","60s B-Sides_Acid Rock","2:44"

"Woodstock (Dj Special 2023)","Crosby, Stills, Nash & Young","114","60s B-Sides_Acid Rock","3:44"

"Yellow Submarine (Dj special 2022)","The Beatles","109","60s A-Sides_Acid Rock","2:46"

"You Can't Always Get What You Want (doubletime) (87bpm)","The Rolling Stones","87","60s A-Sides_Acid Rock","7:29"

"You Need Loving (142bpm)","Small Faces","142","60s B-Sides_Acid Rock","3:56"

"You Won't See Me (Dj Special 2022)","The Beatles","115","60s B-Sides_Acid Rock","3:24"

